Condition,Dose,mean,std
De,0.0,-0.002672096626998303,0.05581385994904857
De,0.5,-0.23765585772686026,0.18584763341072325
De,1.0,-0.5499519724126081,0.20939591913666464
De,1.5,-0.9990952303670291,0.3492670377504862
De,2.0,-1.1561555030368351,0.20488347231523102
De,2.5,-1.6278226842692947,0.3792203312847208
De,3.0,-2.1496102281990197,0.21373848046098695
De,4.0,-3.1536168830602036,0.3907075211447819
De,5.0,-4.578721980441241,0.28720232428846443
De,6.0,-4.539993955226295,0.6550146466983356
De,7.0,-5.503203535563603,0.19073352273735536
De,8.0,-5.793669034750186,0.20420928417795767
