Condition,Dose,mean,std
Aq,0.0,-0.0003011752845926644,0.018683654151988326
Aq,1.0,-0.064443725269714,0.4817520895699729
Aq,2.0,-0.5956151091971936,0.20693859797211148
Aq,3.0,-0.8177343965243037,0.1820129149002651
Aq,4.0,-1.015534334085241,0.10202338280560991
Aq,5.0,-1.7303624192392077,0.2221761045883738
Aq,6.0,-2.8349182903375887,0.3114056165688821
Aq,7.0,-3.4632043809071593,0.3386161467498593
Aq,8.0,-4.786132552071623,0.39686783382570906
Aq,9.0,-6.245635672198837,0.6680647923973464
Aq,10.0,,0.2182957599503115
Aq,12.0,,
Aq,14.0,,
Aq,16.0,,
Aq,18.0,,
