Condition,Dose,mean,std
De,0.0,-0.002109560345509404,0.04952667494006254
De,0.5,-0.33939857621580305,0.20991650120368935
De,1.0,-0.8569551770644777,0.28813563765750816
De,1.5,-0.8437439580623239,0.47208654295522695
De,2.0,-1.790943569711775,0.31204505021403706
De,2.5,-2.1658837247579834,0.45369108028040966
De,3.0,-3.1574229344821765,0.24898043728906627
De,4.0,-4.1317380453149815,0.24890564239371196
De,5.0,-4.970396970751525,0.36003021798139023
De,6.0,-6.684808019450662,0.21609711998165035
De,7.0,-7.139026514675008,0.35510974443014465
De,8.0,,0.5382469632215495
