Condition,Dose,mean,std
D6-De,0.0,-0.015026841275076953,0.13361578517322992
D6-De,3.0,-2.977460217791981,0.4699555810113593
D6-De,6.0,-4.539993955226295,0.6550146466983356
D6-De,7.0,-5.503203535563603,0.19073352273735536
D6-De,8.0,-5.793669034750186,0.20420928417795767
